date,ticker,target_weight,current_action
2026-05-12,EEM,0.038337,LONG
2026-05-12,EFA,0.089398,LONG
2026-05-12,GLD,-0.008335,SHORT
2026-05-12,IWM,0.089398,LONG
2026-05-12,QQQ,-0.054937,SHORT
2026-05-12,SLV,0.008249,LONG
2026-05-12,SPY,-0.08224,SHORT
2026-05-12,TLT,0.006819,LONG
2026-05-12,USO,0.089398,LONG
2026-05-12,XLB,0.089398,LONG
2026-05-12,XLE,0.089398,LONG
2026-05-12,XLF,0.072107,LONG
2026-05-12,XLI,-0.019772,SHORT
2026-05-12,XLK,0.061757,LONG
2026-05-12,XLP,0.089398,LONG
2026-05-12,XLU,0.019989,LONG
2026-05-12,XLV,0.089398,LONG
2026-05-12,XLY,-0.001675,FLAT
