date,ticker,target_weight,current_action
2026-03-23,EEM,0.060482,LONG
2026-03-23,EFA,0.112919,LONG
2026-03-23,GLD,0.022485,LONG
2026-03-23,IWM,0.07647,LONG
2026-03-23,QQQ,0.068404,LONG
2026-03-23,SLV,0.003323,FLAT
2026-03-23,SPY,0.081953,LONG
2026-03-23,TLT,-0.024716,SHORT
2026-03-23,USO,0.060059,LONG
2026-03-23,XLB,0.011909,LONG
2026-03-23,XLE,0.138123,LONG
2026-03-23,XLF,0.106447,LONG
2026-03-23,XLI,-0.007311,SHORT
2026-03-23,XLK,0.061562,LONG
2026-03-23,XLP,0.041306,LONG
2026-03-23,XLU,0.029129,LONG
2026-03-23,XLV,-0.015849,SHORT
2026-03-23,XLY,0.077551,LONG
