date,ticker,target_weight,current_action
2026-06-11,EEM,0.049631,LONG
2026-06-11,EFA,0.10555,LONG
2026-06-11,GLD,-0.019202,SHORT
2026-06-11,IWM,0.110707,LONG
2026-06-11,QQQ,-0.014306,SHORT
2026-06-11,SLV,-0.004932,FLAT
2026-06-11,SPY,0.059801,LONG
2026-06-11,TLT,-0.028055,SHORT
2026-06-11,USO,0.055955,LONG
2026-06-11,XLB,0.015846,LONG
2026-06-11,XLE,0.166987,LONG
2026-06-11,XLF,0.054391,LONG
2026-06-11,XLI,0.000712,FLAT
2026-06-11,XLK,0.044024,LONG
2026-06-11,XLP,0.106997,LONG
2026-06-11,XLU,0.000548,FLAT
2026-06-11,XLV,0.073336,LONG
2026-06-11,XLY,0.08902,LONG
