date,ticker,signal,weight,strategy
2026-03-23,EEM,LONG,0.075164,GARCH Vol
2026-03-23,EFA,LONG,0.137753,GARCH Vol
2026-03-23,GLD,FLAT,-0.000505,GARCH Vol
2026-03-23,IWM,LONG,0.084112,GARCH Vol
2026-03-23,QQQ,LONG,0.084049,GARCH Vol
2026-03-23,SLV,FLAT,-7e-06,GARCH Vol
2026-03-23,SPY,LONG,0.092585,GARCH Vol
2026-03-23,TLT,FLAT,-0.000854,GARCH Vol
2026-03-23,USO,LONG,0.045659,GARCH Vol
2026-03-23,XLB,LONG,0.010317,GARCH Vol
2026-03-23,XLE,LONG,0.107187,GARCH Vol
2026-03-23,XLF,LONG,0.111581,GARCH Vol
2026-03-23,XLI,SHORT,-0.001241,GARCH Vol
2026-03-23,XLK,LONG,0.072648,GARCH Vol
2026-03-23,XLP,LONG,0.069224,GARCH Vol
2026-03-23,XLU,LONG,0.014941,GARCH Vol
2026-03-23,XLV,FLAT,-1.4e-05,GARCH Vol
2026-03-23,XLY,LONG,0.092157,GARCH Vol
2026-03-23,EEM,LONG,0.011153,Entropy Regularized
2026-03-23,EFA,LONG,0.011027,Entropy Regularized
2026-03-23,GLD,LONG,0.20303,Entropy Regularized
2026-03-23,IWM,LONG,0.010939,Entropy Regularized
2026-03-23,QQQ,LONG,0.010976,Entropy Regularized
2026-03-23,SLV,LONG,0.015603,Entropy Regularized
2026-03-23,SPY,LONG,0.011283,Entropy Regularized
2026-03-23,TLT,LONG,0.010998,Entropy Regularized
2026-03-23,USO,LONG,0.084058,Entropy Regularized
2026-03-23,XLB,LONG,0.011495,Entropy Regularized
2026-03-23,XLE,LONG,0.286271,Entropy Regularized
2026-03-23,XLF,LONG,0.01081,Entropy Regularized
2026-03-23,XLI,LONG,0.012053,Entropy Regularized
2026-03-23,XLK,LONG,0.011805,Entropy Regularized
2026-03-23,XLP,LONG,0.021642,Entropy Regularized
2026-03-23,XLU,LONG,0.254783,Entropy Regularized
2026-03-23,XLV,LONG,0.011285,Entropy Regularized
2026-03-23,XLY,LONG,0.010788,Entropy Regularized
2026-03-23,EEM,LONG,0.018861,InvVol Ensemble
2026-03-23,EFA,LONG,0.047765,InvVol Ensemble
2026-03-23,GLD,LONG,0.029868,InvVol Ensemble
2026-03-23,IWM,LONG,0.062592,InvVol Ensemble
2026-03-23,QQQ,LONG,0.025251,InvVol Ensemble
2026-03-23,SLV,LONG,0.00961,InvVol Ensemble
2026-03-23,SPY,LONG,0.058849,InvVol Ensemble
2026-03-23,TLT,SHORT,-0.116247,InvVol Ensemble
2026-03-23,USO,LONG,0.090862,InvVol Ensemble
2026-03-23,XLB,LONG,0.01562,InvVol Ensemble
2026-03-23,XLE,LONG,0.166429,InvVol Ensemble
2026-03-23,XLF,LONG,0.107714,InvVol Ensemble
2026-03-23,XLI,SHORT,-0.034305,InvVol Ensemble
2026-03-23,XLK,LONG,0.032294,InvVol Ensemble
2026-03-23,XLP,SHORT,-0.053919,InvVol Ensemble
2026-03-23,XLU,SHORT,-0.011825,InvVol Ensemble
2026-03-23,XLV,SHORT,-0.077972,InvVol Ensemble
2026-03-23,XLY,LONG,0.040018,InvVol Ensemble
2026-03-24,EEM,LONG,0.124702,GARCH Vol
2026-03-24,EFA,LONG,0.16742,GARCH Vol
2026-03-24,GLD,FLAT,-0.000547,GARCH Vol
2026-03-24,IWM,LONG,0.069659,GARCH Vol
2026-03-24,QQQ,LONG,0.094658,GARCH Vol
2026-03-24,SLV,FLAT,9e-06,GARCH Vol
2026-03-24,SPY,LONG,0.143399,GARCH Vol
2026-03-24,TLT,FLAT,-0.000913,GARCH Vol
2026-03-24,USO,LONG,0.054436,GARCH Vol
2026-03-24,XLB,LONG,0.005819,GARCH Vol
2026-03-24,XLE,SHORT,-0.006225,GARCH Vol
2026-03-24,XLF,LONG,0.086268,GARCH Vol
2026-03-24,XLI,FLAT,-0.000504,GARCH Vol
2026-03-24,XLK,LONG,0.003804,GARCH Vol
2026-03-24,XLP,LONG,0.099832,GARCH Vol
2026-03-24,XLU,FLAT,0.000806,GARCH Vol
2026-03-24,XLV,LONG,0.040021,GARCH Vol
2026-03-24,XLY,LONG,0.100976,GARCH Vol
2026-03-24,EEM,LONG,0.011333,Entropy Regularized
2026-03-24,EFA,LONG,0.011119,Entropy Regularized
2026-03-24,GLD,LONG,0.227264,Entropy Regularized
2026-03-24,IWM,LONG,0.010967,Entropy Regularized
2026-03-24,QQQ,LONG,0.011951,Entropy Regularized
2026-03-24,SLV,LONG,0.078877,Entropy Regularized
2026-03-24,SPY,LONG,0.013952,Entropy Regularized
2026-03-24,TLT,LONG,0.010998,Entropy Regularized
2026-03-24,USO,LONG,0.01524,Entropy Regularized
2026-03-24,XLB,LONG,0.011478,Entropy Regularized
2026-03-24,XLE,LONG,0.236215,Entropy Regularized
2026-03-24,XLF,LONG,0.011689,Entropy Regularized
2026-03-24,XLI,LONG,0.012729,Entropy Regularized
2026-03-24,XLK,LONG,0.020099,Entropy Regularized
2026-03-24,XLP,LONG,0.027948,Entropy Regularized
2026-03-24,XLU,LONG,0.261789,Entropy Regularized
2026-03-24,XLV,LONG,0.015149,Entropy Regularized
2026-03-24,XLY,LONG,0.011202,Entropy Regularized
2026-03-24,EEM,LONG,0.018578,InvVol Ensemble
2026-03-24,EFA,LONG,0.021788,InvVol Ensemble
2026-03-24,GLD,LONG,0.044527,InvVol Ensemble
2026-03-24,IWM,LONG,0.005522,InvVol Ensemble
2026-03-24,QQQ,LONG,0.08859,InvVol Ensemble
2026-03-24,SLV,LONG,0.004793,InvVol Ensemble
2026-03-24,SPY,LONG,0.141967,InvVol Ensemble
2026-03-24,TLT,SHORT,-0.116995,InvVol Ensemble
2026-03-24,USO,LONG,0.06127,InvVol Ensemble
2026-03-24,XLB,SHORT,-0.052858,InvVol Ensemble
2026-03-24,XLE,LONG,0.095308,InvVol Ensemble
2026-03-24,XLF,LONG,0.062307,InvVol Ensemble
2026-03-24,XLI,SHORT,-0.046862,InvVol Ensemble
2026-03-24,XLK,LONG,0.01732,InvVol Ensemble
2026-03-24,XLP,SHORT,-0.018312,InvVol Ensemble
2026-03-24,XLU,SHORT,-0.026943,InvVol Ensemble
2026-03-24,XLV,LONG,0.094921,InvVol Ensemble
2026-03-24,XLY,LONG,0.08114,InvVol Ensemble
