date,ticker,signal,weight,strategy
2026-04-21,EEM,LONG,0.161095,GARCH Vol
2026-04-21,EFA,LONG,0.206971,GARCH Vol
2026-04-21,GLD,SHORT,-0.005636,GARCH Vol
2026-04-21,IWM,SHORT,-0.044694,GARCH Vol
2026-04-21,QQQ,LONG,0.149425,GARCH Vol
2026-04-21,SLV,FLAT,0.0,GARCH Vol
2026-04-21,SPY,SHORT,-0.030298,GARCH Vol
2026-04-21,TLT,LONG,0.070473,GARCH Vol
2026-04-21,USO,LONG,0.029718,GARCH Vol
2026-04-21,XLB,FLAT,-0.000185,GARCH Vol
2026-04-21,XLE,LONG,0.113448,GARCH Vol
2026-04-21,XLF,SHORT,-0.056894,GARCH Vol
2026-04-21,XLI,FLAT,-9.2e-05,GARCH Vol
2026-04-21,XLK,SHORT,-0.016939,GARCH Vol
2026-04-21,XLP,LONG,0.078555,GARCH Vol
2026-04-21,XLU,FLAT,-0.000667,GARCH Vol
2026-04-21,XLV,FLAT,-0.000588,GARCH Vol
2026-04-21,XLY,LONG,0.034321,GARCH Vol
2026-04-21,EEM,LONG,0.01117,Entropy Regularized
2026-04-21,EFA,LONG,0.011085,Entropy Regularized
2026-04-21,GLD,LONG,0.01118,Entropy Regularized
2026-04-21,IWM,LONG,0.011065,Entropy Regularized
2026-04-21,QQQ,LONG,0.011081,Entropy Regularized
2026-04-21,SLV,LONG,0.010697,Entropy Regularized
2026-04-21,SPY,LONG,0.01105,Entropy Regularized
2026-04-21,TLT,LONG,0.010987,Entropy Regularized
2026-04-21,USO,LONG,0.808431,Entropy Regularized
2026-04-21,XLB,LONG,0.011143,Entropy Regularized
2026-04-21,XLE,LONG,0.014944,Entropy Regularized
2026-04-21,XLF,LONG,0.01094,Entropy Regularized
2026-04-21,XLI,LONG,0.011091,Entropy Regularized
2026-04-21,XLK,LONG,0.011114,Entropy Regularized
2026-04-21,XLP,LONG,0.011021,Entropy Regularized
2026-04-21,XLU,LONG,0.011181,Entropy Regularized
2026-04-21,XLV,LONG,0.010885,Entropy Regularized
2026-04-21,XLY,LONG,0.010935,Entropy Regularized
2026-04-21,EEM,LONG,0.053893,InvVol Ensemble
2026-04-21,EFA,LONG,0.066119,InvVol Ensemble
2026-04-21,GLD,LONG,0.039137,InvVol Ensemble
2026-04-21,IWM,SHORT,-0.007279,InvVol Ensemble
2026-04-21,QQQ,LONG,0.039235,InvVol Ensemble
2026-04-21,SLV,LONG,0.026765,InvVol Ensemble
2026-04-21,SPY,SHORT,-0.017653,InvVol Ensemble
2026-04-21,TLT,SHORT,-0.029402,InvVol Ensemble
2026-04-21,USO,LONG,0.150557,InvVol Ensemble
2026-04-21,XLB,LONG,0.083625,InvVol Ensemble
2026-04-21,XLE,LONG,0.128999,InvVol Ensemble
2026-04-21,XLF,LONG,0.049017,InvVol Ensemble
2026-04-21,XLI,SHORT,-0.041629,InvVol Ensemble
2026-04-21,XLK,SHORT,-0.005435,InvVol Ensemble
2026-04-21,XLP,LONG,0.046425,InvVol Ensemble
2026-04-21,XLU,LONG,0.174114,InvVol Ensemble
2026-04-21,XLV,LONG,0.016956,InvVol Ensemble
2026-04-21,XLY,LONG,0.02376,InvVol Ensemble
