date,ticker,signal,weight,strategy
2026-05-12,EEM,LONG,0.03999,GARCH Vol
2026-05-12,EFA,LONG,0.087674,GARCH Vol
2026-05-12,GLD,FLAT,-0.000697,GARCH Vol
2026-05-12,IWM,LONG,0.087674,GARCH Vol
2026-05-12,QQQ,SHORT,-0.087674,GARCH Vol
2026-05-12,SLV,FLAT,0.0,GARCH Vol
2026-05-12,SPY,SHORT,-0.087674,GARCH Vol
2026-05-12,TLT,FLAT,-0.003128,GARCH Vol
2026-05-12,USO,LONG,0.087674,GARCH Vol
2026-05-12,XLB,LONG,0.087674,GARCH Vol
2026-05-12,XLE,SHORT,-0.03182,GARCH Vol
2026-05-12,XLF,LONG,0.087674,GARCH Vol
2026-05-12,XLI,FLAT,-0.000843,GARCH Vol
2026-05-12,XLK,LONG,0.087674,GARCH Vol
2026-05-12,XLP,LONG,0.087674,GARCH Vol
2026-05-12,XLU,FLAT,0.000684,GARCH Vol
2026-05-12,XLV,LONG,0.087674,GARCH Vol
2026-05-12,XLY,SHORT,-0.046101,GARCH Vol
2026-05-12,EEM,LONG,0.011216,Entropy Regularized
2026-05-12,EFA,LONG,0.010992,Entropy Regularized
2026-05-12,GLD,LONG,0.010997,Entropy Regularized
2026-05-12,IWM,LONG,0.011154,Entropy Regularized
2026-05-12,QQQ,LONG,0.011271,Entropy Regularized
2026-05-12,SLV,LONG,0.012076,Entropy Regularized
2026-05-12,SPY,LONG,0.01111,Entropy Regularized
2026-05-12,TLT,LONG,0.01092,Entropy Regularized
2026-05-12,USO,LONG,0.01428,Entropy Regularized
2026-05-12,XLB,LONG,0.010986,Entropy Regularized
2026-05-12,XLE,LONG,0.2,Entropy Regularized
2026-05-12,XLF,LONG,0.010881,Entropy Regularized
2026-05-12,XLI,LONG,0.011015,Entropy Regularized
2026-05-12,XLK,LONG,0.01143,Entropy Regularized
2026-05-12,XLP,LONG,0.01088,Entropy Regularized
2026-05-12,XLU,LONG,0.011054,Entropy Regularized
2026-05-12,XLV,LONG,0.010806,Entropy Regularized
2026-05-12,XLY,LONG,0.010986,Entropy Regularized
2026-05-12,EEM,LONG,0.067708,InvVol Ensemble
2026-05-12,EFA,LONG,0.006016,InvVol Ensemble
2026-05-12,GLD,SHORT,-0.028572,InvVol Ensemble
2026-05-12,IWM,LONG,0.087444,InvVol Ensemble
2026-05-12,QQQ,LONG,0.007651,InvVol Ensemble
2026-05-12,SLV,LONG,0.018927,InvVol Ensemble
2026-05-12,SPY,FLAT,-0.003615,InvVol Ensemble
2026-05-12,TLT,LONG,0.018356,InvVol Ensemble
2026-05-12,USO,LONG,0.085648,InvVol Ensemble
2026-05-12,XLB,LONG,0.087444,InvVol Ensemble
2026-05-12,XLE,LONG,0.087444,InvVol Ensemble
2026-05-12,XLF,LONG,0.087444,InvVol Ensemble
2026-05-12,XLI,SHORT,-0.061994,InvVol Ensemble
2026-05-12,XLK,LONG,0.087444,InvVol Ensemble
2026-05-12,XLP,LONG,0.087444,InvVol Ensemble
2026-05-12,XLU,LONG,0.053141,InvVol Ensemble
2026-05-12,XLV,LONG,0.087444,InvVol Ensemble
2026-05-12,XLY,LONG,0.036262,InvVol Ensemble
