gamma,lambda_base,eg_blend,rebalance_freq,eta0,wf_oos_sharpe,wf_oos_pnl_pct,wf_fold_sharpes,val_pnl_pct,val_sharpe,val_sortino,val_max_dd,val_mc_prob_above_target,val_mc_mean_terminal,val_mc_median_terminal,status,search_phase,tpe_score,composite_score
0.3,0.01,0.8,3,2.0,1.119,94.041,"[0.6424, 1.9968, 1.0828]",41.296,0.5436,0.7548,0.3049,0.5214,158192.21,148109.61,ok,grid,,2.1458999999999997
0.8,0.15,0.8,3,2.0,1.1195,93.96,"[0.6466, 1.9952, 1.0835]",41.21,0.5427,0.7535,0.3054,0.5212,158097.78,147975.94,ok,grid,,2.14485
0.8,0.01,0.65,3,2.0,1.0808,77.325,"[0.7256, 1.9708, 0.955]",39.486,0.5448,0.7515,0.3078,0.5064,154534.31,145962.23,ok,grid,,2.098
0.4,0.03,0.7,3,1.5,1.1202,83.118,"[0.8285, 1.9625, 1.0161]",38.029,0.534,0.7368,0.3051,0.4947,152723.71,144365.28,ok,grid,,2.0835
0.2,0.02,0.7,3,1.5,1.1215,83.279,"[0.8492, 1.9521, 1.0153]",38.013,0.5339,0.7364,0.305,0.4944,152703.05,144279.49,ok,grid,,2.08345
2.418,0.2773,0.515,2,3.0,1.0644,67.431,"[0.8106, 2.0089, 0.8267]",38.466,0.5453,0.7477,0.3135,0.4983,152490.21,144770.98,ok,tpe,1.5419,2.0741
2.473,0.277,0.514,2,2.99,1.063,67.23,"[0.8158, 2.0011, 0.8256]",38.449,0.5453,0.7477,0.3135,0.4981,152457.18,144756.01,ok,tpe,1.5415,2.073
2.406,0.2759,0.512,2,3.0,1.0611,66.939,"[0.8124, 2.0005, 0.8229]",38.074,0.542,0.743,0.3135,0.4952,151990.22,144283.68,ok,tpe,1.5324,2.06295
2.478,0.2851,0.51,3,3.0,1.002,62.099,"[0.6899, 1.9581, 0.7813]",37.657,0.5381,0.7378,0.314,0.4927,151485.47,144056.48,ok,tpe,1.5235,2.0245
0.6,0.06,0.55,3,1.5,1.059,67.061,"[0.8915, 1.8918, 0.8529]",35.694,0.5265,0.721,0.3091,0.4758,148966.59,141483.03,ok,grid,,2.0076
