date,ticker,target_weight,current_action
2026-04-24,EEM,0.092147,LONG
2026-04-24,EFA,-0.092147,SHORT
2026-04-24,GLD,0.010309,LONG
2026-04-24,IWM,0.092147,LONG
2026-04-24,QQQ,-0.036003,SHORT
2026-04-24,SLV,0.014203,LONG
2026-04-24,SPY,-0.045746,SHORT
2026-04-24,TLT,-0.015214,SHORT
2026-04-24,USO,0.092147,LONG
2026-04-24,XLB,0.079825,LONG
2026-04-24,XLE,0.092147,LONG
2026-04-24,XLF,-0.092147,SHORT
2026-04-24,XLI,-0.03587,SHORT
2026-04-24,XLK,0.000337,FLAT
2026-04-24,XLP,0.092147,LONG
2026-04-24,XLU,-0.013409,SHORT
2026-04-24,XLV,0.058174,LONG
2026-04-24,XLY,0.045882,LONG
