Strategy,Total PnL%,Ann. Return%,Sharpe,Sortino,Max DD%,Win Rate%,P(Ann>45%) MC,Bootstrap p-value,WF OOS Sharpe
Stochastic Control,376.29,38.53,0.817,1.166,77.62,42.42,0.3487,0.041,
Momentum Crash Hedge,108.03,16.53,0.564,0.801,80.11,42.34,0.1658,0.1088,
Stein Shrinkage,122.64,18.19,0.581,0.839,60.9,40.85,0.1302,0.105,
Ergodic Growth,85.41,13.76,0.512,0.729,72.98,41.92,0.1178,0.1308,
Benford's Law,-36.09,-8.92,0.246,0.348,67.81,48.05,0.0778,0.2892,0.318
Kelly Growth Optimal,72.76,12.09,0.533,0.796,35.82,9.69,0.0417,0.125,
Multi-Timeframe,-97.51,-53.73,0.089,0.126,99.57,50.62,0.0209,0.4224,0.412
Optimal Transport,-97.17,-52.49,-0.57,-0.779,98.05,37.78,0.0001,0.8918,
OU Mean Reversion,-1.05,-0.22,-0.256,-0.369,2.66,44.32,0.0,0.717,-0.076
Persistent Excursions,0.1,0.02,0.023,0.034,9.02,39.85,0.0,0.488,0.136
Mean Field Game,36.97,6.79,0.62,0.904,14.45,45.98,0.0,0.0926,0.472
RKHS Regression,8.62,1.74,0.316,0.454,9.3,41.92,0.0,0.2594,0.321
Rényi Entropy,-17.29,-3.89,-0.267,-0.382,37.26,31.48,0.0,0.7266,
Scoring Rules,0.0,0.0,,,0.0,0.0,0.0,1.0,
Malliavin Greeks,-0.32,-0.07,-0.217,-0.287,0.63,1.41,0.0,0.6918,
Optimal Stopping,23.47,4.5,0.677,0.947,10.11,50.54,0.0,0.072,0.367
Sparse PCA Timing,0.0,0.0,,,0.0,0.0,0.0,1.0,
Wasserstein Gradient,70.86,11.83,0.893,1.293,18.7,54.02,0.0,0.0276,0.285
Semigroup Decay,4.89,1.0,0.18,0.259,10.86,45.9,0.0,0.3334,-0.62
Szegő Prediction,-9.91,-2.15,-0.529,-0.809,14.43,41.51,0.0,0.8776,-0.469
Vol-Scaled Ensemble,7.86,1.59,0.937,1.382,7.17,52.36,0.0,0.018,0.301
Concentration Bounds,13.94,2.76,0.58,0.822,7.39,49.21,0.0,0.1064,0.903
Copula Dependence,-11.48,-2.51,-0.146,-0.202,29.13,36.7,0.0,0.6326,0.703
Max Entropy Spectrum,-4.75,-1.01,-0.648,-0.933,4.97,30.49,0.0,0.923,-0.157
Martingale Difference,-2.15,-0.45,-0.868,-1.06,2.21,13.01,0.0,0.9642,
Kalman Alpha,-10.24,-2.23,-0.527,-0.678,19.54,32.26,0.0,0.8754,-0.046
Spectral Momentum,21.72,4.19,0.705,1.027,26.11,39.6,0.0,0.0628,
GARCH Vol,10.61,2.13,1.392,2.311,1.45,31.57,0.0,0.0014,
Info Geometry,-1.04,-0.22,-0.984,-1.295,1.07,46.23,0.0,0.9844,-0.417
Conservative Stochastic Control,44.6,8.0,0.844,1.231,13.58,42.5,0.0,0.0326,
RMT Eigenportfolio,-4.96,-1.06,-0.086,-0.118,22.74,39.11,0.0,0.5858,
Entropy Regularized,70.86,11.83,0.893,1.293,18.7,54.02,0.0,0.0276,0.285
Fractional Differentiation,1.37,0.29,0.094,0.144,4.39,40.93,0.0,0.4026,-0.605
Lévy Jump,1.7,0.35,0.086,0.115,17.48,42.25,0.0,0.4288,-0.266
Topological TDA,-6.82,-1.46,-0.132,-0.177,14.81,47.97,0.0,0.623,0.266
Rough Volatility,-9.12,-1.98,-0.287,-0.387,15.28,41.26,0.0,0.7352,0.121
Bayesian Changepoint,7.27,1.48,0.253,0.337,15.9,50.7,0.0,0.2982,-0.125
Sparse Mean Reversion,0.16,0.03,0.032,0.044,2.54,33.47,0.0,0.4808,-0.258
Microstructure,0.02,0.0,0.015,0.023,6.6,40.68,0.0,0.4856,0.063
HMM Regime,25.67,4.89,0.533,0.732,15.21,50.46,0.0,0.1182,-1.034
Leveraged Trend,20.92,4.05,0.567,0.78,16.43,42.42,0.0,0.1106,
