date,ticker,target_weight,current_action
2026-04-23,EEM,0.008333,LONG
2026-04-23,EFA,0.243434,LONG
2026-04-23,GLD,-0.003089,FLAT
2026-04-23,IWM,-0.027906,SHORT
2026-04-23,QQQ,-0.039419,SHORT
2026-04-23,SLV,0.001883,FLAT
2026-04-23,SPY,-0.044849,SHORT
2026-04-23,TLT,-0.006351,SHORT
2026-04-23,USO,0.18467,LONG
2026-04-23,XLB,0.053919,LONG
2026-04-23,XLE,0.079354,LONG
2026-04-23,XLF,-0.038504,SHORT
2026-04-23,XLI,0.027473,LONG
2026-04-23,XLK,-0.009403,SHORT
2026-04-23,XLP,0.069649,LONG
2026-04-23,XLU,0.01591,LONG
2026-04-23,XLV,0.121152,LONG
2026-04-23,XLY,0.024702,LONG
