date,ticker,signal,weight,strategy
2026-03-31,EEM,LONG,0.112166,GARCH Vol
2026-03-31,EFA,LONG,0.182621,GARCH Vol
2026-03-31,GLD,FLAT,-0.000418,GARCH Vol
2026-03-31,IWM,LONG,0.129698,GARCH Vol
2026-03-31,QQQ,LONG,0.103915,GARCH Vol
2026-03-31,SLV,FLAT,1.9e-05,GARCH Vol
2026-03-31,SPY,LONG,0.172923,GARCH Vol
2026-03-31,TLT,SHORT,-0.002526,GARCH Vol
2026-03-31,USO,LONG,0.052937,GARCH Vol
2026-03-31,XLB,SHORT,-0.002159,GARCH Vol
2026-03-31,XLE,SHORT,-0.003654,GARCH Vol
2026-03-31,XLF,LONG,0.050581,GARCH Vol
2026-03-31,XLI,FLAT,-0.00064,GARCH Vol
2026-03-31,XLK,LONG,0.021442,GARCH Vol
2026-03-31,XLP,LONG,0.049654,GARCH Vol
2026-03-31,XLU,FLAT,-0.000486,GARCH Vol
2026-03-31,XLV,FLAT,-0.000758,GARCH Vol
2026-03-31,XLY,LONG,0.113404,GARCH Vol
2026-03-31,EEM,LONG,0.011108,Entropy Regularized
2026-03-31,EFA,LONG,0.011327,Entropy Regularized
2026-03-31,GLD,LONG,0.094904,Entropy Regularized
2026-03-31,IWM,LONG,0.011024,Entropy Regularized
2026-03-31,QQQ,LONG,0.013917,Entropy Regularized
2026-03-31,SLV,LONG,0.013887,Entropy Regularized
2026-03-31,SPY,LONG,0.014551,Entropy Regularized
2026-03-31,TLT,LONG,0.011708,Entropy Regularized
2026-03-31,USO,LONG,0.059958,Entropy Regularized
2026-03-31,XLB,LONG,0.011404,Entropy Regularized
2026-03-31,XLE,LONG,0.470914,Entropy Regularized
2026-03-31,XLF,LONG,0.011019,Entropy Regularized
2026-03-31,XLI,LONG,0.012245,Entropy Regularized
2026-03-31,XLK,LONG,0.023658,Entropy Regularized
2026-03-31,XLP,LONG,0.028929,Entropy Regularized
2026-03-31,XLU,LONG,0.171331,Entropy Regularized
2026-03-31,XLV,LONG,0.015953,Entropy Regularized
2026-03-31,XLY,LONG,0.012163,Entropy Regularized
2026-03-31,EEM,LONG,0.008289,InvVol Ensemble
2026-03-31,EFA,LONG,0.010125,InvVol Ensemble
2026-03-31,GLD,LONG,0.005454,InvVol Ensemble
2026-03-31,IWM,LONG,0.066261,InvVol Ensemble
2026-03-31,QQQ,LONG,0.084411,InvVol Ensemble
2026-03-31,SLV,SHORT,-0.00652,InvVol Ensemble
2026-03-31,SPY,LONG,0.114442,InvVol Ensemble
2026-03-31,TLT,SHORT,-0.101609,InvVol Ensemble
2026-03-31,USO,LONG,0.070667,InvVol Ensemble
2026-03-31,XLB,SHORT,-0.025896,InvVol Ensemble
2026-03-31,XLE,LONG,0.241973,InvVol Ensemble
2026-03-31,XLF,LONG,0.019489,InvVol Ensemble
2026-03-31,XLI,SHORT,-0.025927,InvVol Ensemble
2026-03-31,XLK,LONG,0.057684,InvVol Ensemble
2026-03-31,XLP,SHORT,-0.042508,InvVol Ensemble
2026-03-31,XLU,SHORT,-0.016164,InvVol Ensemble
2026-03-31,XLV,LONG,0.024501,InvVol Ensemble
2026-03-31,XLY,LONG,0.07808,InvVol Ensemble
